"","Make","type_of_breaks","drive_type","number_of_seats","number_of_doors"
"1","Audi","disc (front + rear)","4WD","5","5"
"2","Audi","disc (front + rear)","4WD","5","5"
"3","Audi","disc (front + rear)","4WD","5","5"
"4","Audi","disc (front + rear)","4WD","5","5"
"5","Audi","disc (front + rear)","4WD","5","5"
"6","Audi","disc (front + rear)","4WD","5","5"
"7","BMW","disc (front + rear)","2WD (rear)","4","5"
"8","BMW","disc (front + rear)","2WD (rear)","4","5"
"9","BMW","disc (front + rear)","2WD (rear)","5","5"
"11","DS","disc (front + rear)","2WD (front)","5","5"
"12","Honda","disc (front + rear)","2WD (rear)","5","5"
"13","Honda","disc (front + rear)","2WD (rear)","5","5"
"14","Hyundai","disc (front + rear)","2WD (front)","5","5"
"15","Hyundai","disc (front + rear)","2WD (front)","5","5"
"16","Hyundai","disc (front + rear)","2WD (front)","5","5"
"17","Jaguar","disc (front + rear)","4WD","5","5"
"18","Kia","disc (front + rear)","2WD (front)","5","5"
"19","Kia","disc (front + rear)","2WD (front)","5","5"
"20","Kia","disc (front + rear)","2WD (front)","5","5"
"21","Kia","disc (front + rear)","2WD (front)","5","5"
"22","Mazda","disc (front + rear)","2WD (front)","5","5"
"23","Mercedes-Benz","disc (front + rear)","4WD","5","5"
"24","Mini","disc (front + rear)","2WD (front)","4","3"
"25","Nissan","disc (front + rear)","2WD (front)","5","5"
"26","Nissan","disc (front + rear)","2WD (front)","5","5"
"27","Opel","disc (front + rear)","2WD (front)","5","5"
"28","Opel","disc (front + rear)","2WD (front)","5","5"
"29","Peugeot","disc (front + rear)","2WD (front)","5","5"
"31","Porsche","disc (front + rear)","4WD","4","4"
"32","Porsche","disc (front + rear)","4WD","4","4"
"33","Porsche","disc (front + rear)","4WD","4","4"
"34","Porsche","disc (front + rear)","4WD","4","4"
"35","Renault","disc (front + rear)","2WD (front)","5","5"
"36","Renault","disc (front + rear)","2WD (front)","5","5"
"37","Skoda","disc (front) + drum (rear)","2WD (front)","4","5"
"38","Smart","disc (front) + drum (rear)","2WD (rear)","2","3"
"39","Smart","disc (front) + drum (rear)","2WD (rear)","4","5"
"47","Volkswagen","disc (front) + drum (rear)","2WD (front)","4","5"
"48","Volkswagen","disc (front) + drum (rear)","2WD (rear)","5","5"
"49","Volkswagen","disc (front) + drum (rear)","2WD (rear)","5","5"
"50","Volkswagen","disc (front) + drum (rear)","2WD (rear)","5","5"
"51","CitroÃ«n","disc (front + rear)","2WD (front)","8","5"
